,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
0,Somerset,404,Somerset Precinct 02-001,324,69,159,80,404,1.0,0.801980198019802,0.19801980198019803,176,0.1707920792079208,0.3935643564356436,0.43564356435643564
1,Somerset,726,Somerset Precinct 05-001,591,173,367,135,726,1.0,0.8140495867768595,0.1859504132231405,186,0.23829201101928374,0.5055096418732782,0.256198347107438
2,Somerset,1165,Somerset Precinct 03-001,861,268,535,304,1165,1.0,0.7390557939914163,0.2609442060085837,362,0.23004291845493563,0.4592274678111588,0.31072961373390556
3,Somerset,217,Somerset Precinct 13-003,159,49,85,58,217,1.0,0.7327188940092166,0.2672811059907834,83,0.22580645161290322,0.391705069124424,0.3824884792626728
4,Somerset,3664,Somerset Precinct 13-002,1072,84,126,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3454,0.02292576419213974,0.034388646288209604,0.9426855895196506
5,Somerset,151,Somerset Precinct 13-001,122,27,78,29,151,1.0,0.8079470198675497,0.19205298013245034,46,0.17880794701986755,0.5165562913907285,0.304635761589404
6,Somerset,2355,Somerset Precinct 01-002,1257,596,419,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1340,0.25307855626326964,0.17791932059447982,0.5690021231422505
7,Somerset,221,Somerset Precinct 01-003,67,172,48,154,221,1.1827956989247312,0.3031674208144796,0.6968325791855203,1,0.7782805429864253,0.2171945701357466,0.004524886877828055
8,Somerset,1267,Somerset Precinct 15-002,234,476,103,1033,1267,1.0,0.18468823993685873,0.8153117600631413,688,0.3756906077348066,0.08129439621152329,0.5430149960536701
9,Somerset,1039,Somerset Precinct 01-001,633,248,223,406,1039,1.0,0.6092396535129933,0.39076034648700675,568,0.2386910490856593,0.21462945139557266,0.546679499518768
10,Somerset,3771,Somerset Precinct 15-001,692,376,182,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3213,0.09970830018562715,0.04826306019623442,0.8520286396181385
11,Worcester,3181,Worcester Precinct 01-001,1587,1421,1759,1594,3181,1.3736501079913608,0.4988997170701037,0.5011002829298963,1,0.44671486953788114,0.5529707639107199,0.00031436655139893113
12,Somerset,919,Somerset Precinct 04-001,711,184,373,208,919,1.0,0.7736670293797606,0.22633297062023938,362,0.20021762785636563,0.4058759521218716,0.3939064200217628
13,Dorchester,70,Dorchester Precinct 18-001,65,11,25,5,70,1.0,0.9285714285714286,0.07142857142857142,34,0.15714285714285714,0.35714285714285715,0.4857142857142857
14,Dorchester,49,Dorchester Precinct 11-001,44,9,35,5,49,1.0,0.8979591836734694,0.10204081632653061,5,0.1836734693877551,0.7142857142857143,0.10204081632653061
15,Dorchester,145,Dorchester Precinct 13-002,79,70,44,66,145,1.0,0.5448275862068965,0.45517241379310347,31,0.4827586206896552,0.30344827586206896,0.21379310344827587
16,Dorchester,206,Dorchester Precinct 17-001,169,44,103,37,206,1.0,0.8203883495145631,0.1796116504854369,59,0.21359223300970873,0.5,0.28640776699029125
17,Dorchester,63,Dorchester Precinct 14-002,39,20,29,24,63,1.0,0.6190476190476191,0.38095238095238093,14,0.31746031746031744,0.4603174603174603,0.2222222222222222
18,Wicomico,1349,Wicomico Precinct 17-001,1025,527,612,324,1349,1.0,0.759822090437361,0.24017790956263899,210,0.3906597479614529,0.4536693847294292,0.15567086730911786
19,Dorchester,308,Dorchester Precinct 03-001,274,82,148,34,308,1.0,0.8896103896103896,0.11038961038961038,78,0.2662337662337662,0.4805194805194805,0.2532467532467532
20,Cecil,4593,Cecil Precinct 05-003,4361,952,2362,232,4593,1.0,0.9494883518397561,0.05051164816024385,1279,0.20727193555410406,0.5142608317004137,0.27846723274548224
21,Kent,1682,Kent Precinct 01-002,1494,476,714,188,1682,1.0,0.8882282996432818,0.1117717003567182,492,0.28299643281807374,0.4244946492271106,0.2925089179548157
22,Cecil,2280,Cecil Precinct 02-001,2088,500,987,192,2280,1.0,0.9157894736842105,0.08421052631578947,793,0.21929824561403508,0.4328947368421053,0.3478070175438597
23,Cecil,2076,Cecil Precinct 02-002,1934,462,856,142,2076,1.0,0.9315992292870906,0.06840077071290944,758,0.22254335260115607,0.4123314065510597,0.3651252408477842
24,Cecil,4897,Cecil Precinct 05-002,4539,1012,2524,358,4897,1.0,0.9268940167449459,0.07310598325505412,1361,0.20665713702266694,0.5154176026138452,0.27792526036348786
25,Cecil,3665,Cecil Precinct 09-001,3546,484,1762,119,3665,1.0,0.9675306957708049,0.03246930422919509,1419,0.1320600272851296,0.48076398362892225,0.38717598908594814
26,Cecil,2554,Cecil Precinct 05-004,2220,477,640,334,2554,1.0,0.8692247454972593,0.1307752545027408,1437,0.18676585747846516,0.2505873140172279,0.5626468285043069
27,Cecil,4984,Cecil Precinct 05-001,4641,546,1195,343,4984,1.0,0.9311797752808989,0.06882022471910113,3243,0.10955056179775281,0.23976725521669343,0.6506821829855538
28,Cecil,7016,Cecil Precinct 03-002,6111,922,1756,905,7016,1.0,0.8710091220068416,0.1289908779931585,4338,0.1314139110604333,0.250285062713797,0.6183010262257697
29,Cecil,6045,Cecil Precinct 03-003,4995,886,1285,1050,6045,1.0,0.826302729528536,0.17369727047146402,3874,0.14656741108354013,0.21257237386269645,0.6408602150537634
30,Cecil,4668,Cecil Precinct 04-001,4445,1101,1774,223,4668,1.0,0.9522279348757497,0.04777206512425022,1793,0.2358611825192802,0.3800342759211654,0.3841045415595544
31,Cecil,6876,Cecil Precinct 03-001,5322,1338,1537,1554,6876,1.0,0.7739965095986039,0.22600349040139617,4001,0.19458987783595114,0.22353112274578243,0.5818789994182665
32,Cecil,1863,Cecil Precinct 04-002,1152,711,531,711,1863,1.0,0.6183574879227053,0.38164251207729466,621,0.38164251207729466,0.28502415458937197,0.3333333333333333
33,Worcester,1928,Worcester Precinct 04-001,1585,619,1308,343,1928,3.2332214765100673,0.8220954356846473,0.1779045643153527,1,0.3210580912863071,0.6784232365145229,0.0005186721991701245
34,Worcester,2209,Worcester Precinct 02-001,1098,250,154,1111,2209,1.0,0.49705749207786326,0.5029425079221367,1805,0.11317338162064282,0.06971480307831598,0.8171118153010412
35,Worcester,2685,Worcester Precinct 04-002,2330,169,395,355,2685,1.0,0.8677839851024208,0.13221601489757914,2121,0.06294227188081937,0.14711359404096835,0.7899441340782123
36,Worcester,1643,Worcester Precinct 02-002,1288,1101,541,355,1643,2.299719887955182,0.7839318320146075,0.21606816798539258,1,0.6701156421180767,0.3292757151552039,0.0006086427267194157
