,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,52,105,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,247,0.12871287128712872,0.2599009900990099,0.6113861386138614
1,Somerset,726,Somerset Precinct 05-001,591,124,2,100,200,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,426,0.13774104683195593,0.27548209366391185,0.5867768595041323
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,132,284,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,749,0.11330472103004292,0.24377682403433476,0.6429184549356223
3,Somerset,217,Somerset Precinct 13-003,159,53,5,22,54,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,141,0.10138248847926268,0.2488479262672811,0.6497695852534562
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,47,59,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3558,0.012827510917030568,0.016102620087336244,0.9710698689956332
5,Somerset,151,Somerset Precinct 13-001,122,26,1,12,36,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,103,0.07947019867549669,0.23841059602649006,0.6821192052980133
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,252,222,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1881,0.1070063694267516,0.09426751592356689,0.7987261146496816
7,Somerset,186,Somerset Precinct 01-003,56,99,16,34,32,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,120,0.1827956989247312,0.17204301075268819,0.6451612903225806
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,155,60,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1052,0.122336227308603,0.0473559589581689,0.8303078137332282
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,78,92,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,869,0.07507218479307026,0.08854667949951876,0.836381135707411
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,88,83,114,3771,1.0,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3600,0.023335985149827633,0.022010076902678335,0.954653937947494
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,621,871,53,2315,1.0,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,823,0.2682505399568035,0.37624190064794816,0.35550755939524836
12,Somerset,919,Somerset Precinct 04-001,711,170,8,87,192,30,919,1.0,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,640,0.09466811751904244,0.2089227421109902,0.6964091403699674
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,5,15,5,70,1.0,0.9285714285714286,0.0,0.0,0.07142857142857142,50,0.07142857142857142,0.21428571428571427,0.7142857142857143
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,8,20,2,49,1.0,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,21,0.16326530612244897,0.40816326530612246,0.42857142857142855
